Occupation,Age,Annual_Income,Interest_Rate,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Payment_Behaviour,Monthly_Balance,CONTRACT_CODE,APPROVED_AMOUNT,GRANT_DATE,EXPIRY_DATE,TENURE,TERM,LOAN_TYPE,LOAN_DESCRIPTION,LOAN_PRODUCT,LTYPE,BUSINESS_DATE,PRINCIPAL_OS,INTEREST_OS,PRINCIPAL_ARREARS,CURRENT_COMMITTMENT,INSTALLMENT_AMOUNT,INSTALLMENT_FREQ_PRINCIPAL,INSTALLMENT_FREQ_INTEREST,RISK_GRADE,ECONOMIC_SECTOR,INDUSTRY,SECTOR,TERM_OF_PAYMENT,COLLATTERAL,COLLATERAL_VALUE,year,Credit_Score,Occupation
Teacher,28,34847.84_,6.0,Credit-Builder Loan,3.0,-1,High_spent_Large_value_payments,466.46647639764313,1000001451646,47000000.0,2023-07-14,2024-07-15 00:00:00,Short Term,SHORT TERM,OD,Current Account with Overdraft,OD,OD,2023-05-24,17388351.22,0.0,0.0,29611648.78,0.0,0,0,RG2,Domestic Trade,"Import , Petroleum Products",DOMESTIC TRADE,Monthly,Corporate Guarantee,111000000.0,2024,Standard,Teacher
Teacher,28,34847.84,6.0,Credit-Builder Loan,3.0,3_,Low_spent_Medium_value_payments,465.6762241330048,1000001834413,12000000.0,2022-08-02,2023-06-15 00:00:00,Short Term,SHORT TERM,OD,CURRENT ACCOUNT,OD,OD,2023-05-24,2767515.54,0.0,0.0,9232484.46,0.0,0,0,RG2,Import,"Import , Chemicals products",Individual,Monthly,Foreign Bank Guarantee,250000.0,2023,Good,Teacher
Teacher,28,34847.84,6.0,Credit-Builder Loan,3.0,1,Low_spent_Small_value_payments,444.8670318506144,1000001871718,20000000.0,2023-11-13,2024-11-09 00:00:00,Short Term,SHORT TERM,OD,Current Account with Overdraft,OD,OD,2023-05-24,17372584.37,0.0,0.0,2627415.63,0.0,0,0,RG2,Import,"Import , Chemicals products",Individual,Monthly,Whearhouse,12000000.0,2024,Good,Teacher
Teacher,28,34847.84,6.0,Credit-Builder Loan,3.0,0,High_spent_Large_value_payments,481.5052619,1000002280397,200000000.0,2022-07-14,2023-07-15 00:00:00,Short Term,SHORT TERM,OD,Current Account with Overdraft,OD,OD,2023-05-24,21405913.24,0.0,0.0,178594086.76,0.0,0,0,RG1,Manufacturing,Other Manufacturing Industries,Manufacturing,Monthly,Factory Building;Factory Machinery,59053444.88,2023,Good,Teacher
Teacher,28,34847.84,6.0,Credit-Builder Loan,3.0,4,High_spent_Medium_value_payments,464.8806778859809,1000002896684,35000000.0,2023-10-03,2024-10-08 00:00:00,Short Term,SHORT TERM,OD,Current Account with Overdraft,OD,OD,2023-05-24,9218381.96,0.0,0.0,25781618.04,0.0,0,0,RG2,Domestic Trade,Other individuals,Individual,Monthly,Commercial Building;Dry Cargo,50582299.98,2024,Good,Teacher
Teacher,28,34847.84,6.0,Credit-Builder Loan,3.0,4,Low_spent_Small_value_payments,356.07810855965045,1000003794125,3000000.0,2023-03-13,2024-03-13 00:00:00,Short Term,SHORT TERM,OD,Current Account with Overdraft,OD,OD,2023-05-24,1013389.84,0.0,0.0,1986610.16,0.0,0,0,RG3,Manufacturing,Other food products,Manufacturing,Monthly,Factory Building,26915947.63,2024,Good,Teacher
Architect,34,143162.64,8.0,"Auto Loan, Auto Loan, and Not Specified",5.0,8,!@9#%8,1043.3159778669492,1000004335299,350000000.0,2023-08-01,2024-08-03 00:00:00,Short Term,SHORT TERM,OD,Current Account with Overdraft,OD,OD,2023-05-24,285025477.8,0.0,0.0,64974522.2,0.0,0,0,RG1,Manufacturing,Beer Brewery,Manufacturing,Monthly,Automobile;Business Mortgage;Dry Cargo;Factory Building;Factory Machinery,1314904222.04,2024,Good,_______
Engineer,34,143162.64,8.0,"Auto Loan, Auto Loan, and Not Specified",13.0,6,High_spent_Small_value_payments,998.8692967863226,1000004345545,3500000.0,2021-12-10,2023-10-15 00:00:00,Short Term,SHORT TERM,OD,Current Account with Overdraft,OD,OD,2023-05-24,0.0,28187.52,0.0,2286877.95,0.0,0,0,RG2,Manufacturing,Other Manufacturing Industries,Manufacturing,Monthly,Commercial Building,28063335.58,2023,Good,Engineer
Architect,34,143162.64,8.0,"Auto Loan, Auto Loan, and Not Specified",8.0,7,High_spent_Small_value_payments,715.7413674,1000004345634,20000000.0,2023-08-01,2024-07-17 00:00:00,Short Term,SHORT TERM,OD,Current Account with Overdraft,OD,OD,2023-05-24,1459279.9,0.0,0.0,18540720.1,0.0,0,0,RG2,Manufacturing,"Import , Other",Individual,Monthly,Commercial Building;Factory Building;Whearhouse,108555484.17,2024,Good,_______
Engineer,34,143162.64,8.0,"Auto Loan, Auto Loan, and Not Specified",8.0,5,Low_spent_Medium_value_payments,426.5134106068658,1000004345669,100000.0,2022-01-21,2023-12-18 00:00:00,Short Term,SHORT TERM,OD,Current Account with Overdraft,OD,OD,2023-05-24,86156.32,0.0,0.0,13843.68,0.0,0,0,RG2,Domestic Trade,Oth proff scient & techn Act nec,Individual,Monthly,Residential Houses,2048445.27,2023,Good,Engineer
Architect,34,143162.64,8.0,"Auto Loan, Auto Loan, and Not Specified",10.0,5,Low_spent_Large_value_payments,810.7821526659284,1000004542944,15000000.0,2024-01-11,2024-12-19 00:00:00,Short Term,SHORT TERM,OD,Current Account with Overdraft,OD,OD,2023-05-24,11775098.5,0.0,0.0,3224901.5,0.0,0,0,RG4,Export,"Export , Cereals",Export,Monthly,"Premises, Buildings & Houses",10009933.69,2024,Good,_______
Engineer,34,143162.64,8.0,"Auto Loan, Auto Loan, and Not Specified",8.0,6,High_spent_Medium_value_payments,963.9215811205684,1000004661552,3500000.0,2023-06-02,2024-06-16 00:00:00,Short Term,SHORT TERM,OD,Current Account with Overdraft,OD,OD,2023-05-24,3463434.04,0.0,0.0,36565.96,0.0,0,0,RG2,Manufacturing,Garment,Individual,Monthly,Motor vehicles,2750935.0,2024,Good,Engineer
Engineer,34,143162.64,8.0,"Auto Loan, Auto Loan, and Not Specified",8.0,6,High_spent_Small_value_payments,968.5555173846187,1000005061346,35000000.0,2023-09-22,2024-09-03 00:00:00,Short Term,SHORT TERM,OD,Current Account with Overdraft,OD,OD,2023-05-24,34277893.16,0.0,0.0,722106.84,0.0,0,0,RG4,Manufacturing,Manufactureof basic iron and steel,Manufacturing,Monthly,Factory Building;Factory Machinery;Motor vehicles,65870811.04,2024,Standard,Engineer
Engineer,34,143162.64,8.0,"Auto Loan, Auto Loan, and Not Specified",8.0,6,High_spent_Small_value_payments,895.4945832,1000005073239,1000000.0,2021-07-10,2024-07-11 00:00:00,Short Term,SHORT TERM,OD,Current Account with Overdraft,OD,OD,2023-05-24,937833.4,0.0,0.0,62166.6,0.0,0,0,RG3,Buliding  and Construction,"Constr-roads,bridge,hospital,school",Individual,Monthly,Others-Motor vehicles;Residential Houses,3110466.83,2024,Standard,Engineer
Entrepreneur,54,30689.89,4.0,Not Specified,0.0,6,Low_spent_Large_value_payments,433.6047729627723,1000005333451,10000000.0,2023-09-21,2024-09-21 00:00:00,Short Term,SHORT TERM,OD,Current Account with Overdraft,OD,OD,2023-05-24,6005202.9,0.0,0.0,3994797.1,0.0,0,0,RG1,Manufacturing,Cosmetics and Perfumes,Individual,Monthly,Factory Building;Factory Machinery;Motor vehicles,66197231.78,2024,Standard,Entrepreneur
Entrepreneur,54,30689.89,4.0,Not Specified,5.0,3,Low_spent_Small_value_payments,409.95181177115995,1000005333548,5300000.0,2022-06-25,2024-05-19 00:00:00,Short Term,SHORT TERM,OD,Current Account with Overdraft,OD,OD,2023-05-24,5009308.68,0.0,0.0,290691.32,0.0,0,0,RG2,Import,"Import , Other",Import,Monthly,Factory Building,17450191.11,2024,Standard,Entrepreneur
Entrepreneur,55,30689.89,4.0,Not Specified,3.0,9,High_spent_Medium_value_payments,411.42712287098345,1000006161026,130000000.0,2023-03-23,2024-03-29 00:00:00,Short Term,SHORT TERM,OD,Current Account with Overdraft,OD,OD,2023-05-24,115275501.11,0.0,0.0,14724498.89,0.0,0,0,RG3,Manufacturing,Casting of metals,Manufacturing,Monthly,Automobile;Factory Building;Factory Machinery;Personal Guarantee,640807485.76,2024,Standard,Entrepreneur
Entrepreneur,55,30689.89_,4.0,Not Specified,7.0,6,Low_spent_Small_value_payments,262.4995942778403,1000006588119,1000000.0,2022-06-06,2024-03-24 00:00:00,Short Term,SHORT TERM,OD,Current Account with Overdraft,OD,OD,2023-05-24,235652.73,0.0,0.0,764347.27,0.0,0,0,RG2,Hotel and Tourism,Hotel & Tourism,DOMESTIC TRADE,Monthly,Commercial Building,47181211.06,2024,Standard,Entrepreneur
Entrepreneur,55,30689.89,4.0,Not Specified,5.0,6,Low_spent_Large_value_payments,359.37491550776383,1000006958269,80000000.0,2023-07-17,2024-07-17 00:00:00,Short Term,SHORT TERM,OD,Current Account with Overdraft,OD,OD,2023-05-24,79475854.29,0.0,0.0,524145.71,0.0,0,0,RG2,Domestic Trade,Manufacture of alcoholic drink,Manufacturing,Monthly,Commercial Building,24327296.0,2024,Standard,Entrepreneur
Architect,55,30689.89,4.0,Not Specified,5.0,6,High_spent_Small_value_payments,419.8807835023488,1000007227381,20000000.0,2023-12-26,2024-12-25 00:00:00,Short Term,SHORT TERM,OD,Current Account with Overdraft,OD,OD,2023-05-24,18674776.94,0.0,0.0,1325223.06,0.0,0,0,RG3,Manufacturing,Manufacture of furniture products,Manufacturing,Monthly,Commercial Building,99925184.0,2024,Standard,_______
Entrepreneur,55,30689.89,4.0,Not Specified,5.0,16,Low_spent_Large_value_payments,443.5499567906391,1000007333521,361000000.0,2023-10-03,2024-09-28 00:00:00,Short Term,SHORT TERM,OD,Current Account with Overdraft,OD,OD,2023-05-24,201651527.78,0.0,0.0,159348472.22,0.0,0,0,RG2,Manufacturing,Other individuals,Individual,Monthly,Factory Building;Factory Machinery;Others-Motor vehicles,360419623.77,2024,Standard,Entrepreneur
Entrepreneur,55,30689.89,4.0,Not Specified,4.0,9,High_spent_Small_value_payments,379.21638114119577,1000007594902,30000000.0,2023-07-11,2024-07-11 00:00:00,Short Term,SHORT TERM,OD,Current Account with Overdraft,OD,OD,2023-05-24,27687809.36,0.0,0.0,2312190.64,0.0,0,0,RG2,Manufacturing,Other Manufacturing Industries,Manufacturing,Monthly,Dry Cargo;Factory Building;Factory Machinery,58293378.61,2024,Standard,Entrepreneur
Developer,21,35547.71_,5.0,Home Equity Loan,5.0,16,!@9#%8,288.60552234930395,1000007596212,2000000.0,2023-06-29,2024-12-05 00:00:00,Short Term,SHORT TERM,OD,Current Account with Overdraft,OD,OD,2023-05-24,449301.56,0.0,0.0,1550698.44,0.0,0,0,RG2,Manufacturing,Export of oilseeds,Export,Monthly,"Business Mortgage;Premises, Buildings & Houses",12747129.98,2024,Standard,Developer
Developer,21,35547.71,5.0,Home Equity Loan,9.0,16,High_spent_Medium_value_payments,460.88727561667037,1000007874344,30000000.0,2023-10-11,2024-09-25 00:00:00,Short Term,SHORT TERM,OD,Current Account with Overdraft,OD,OD,2023-05-24,0.0,478009.7019999999,0.0,23634533.93,0.0,0,0,RG2,Import,Import - Vehicle,Import,Monthly,Commercial Building,65243187.03,2024,Standard,Developer
Developer,21,35547.71,5.0,Home Equity Loan,5.0,12,Low_spent_Medium_value_payments,392.1922656650829,1000007874387,50000000.0,2024-02-12,2024-12-10 00:00:00,Short Term,SHORT TERM,OD,Current Account with Overdraft,OD,OD,2023-05-24,48067132.53,0.0,0.0,1932867.47,0.0,0,0,RG2,Manufacturing,mfg of mineral & oth bottle water,Manufacturing,Monthly,"Automobile;Bus;Dry Cargo;Factory Building;Factory Machinery;Premises, Buildings & Houses;Residential Houses",441501712.54,2024,Standard,Developer
Developer,21,35547.71,5.0,Home Equity Loan,1.0,15,High_spent_Medium_value_payments,438.5454315807922,1000008167986,50000000.0,2022-05-26,2023-04-15 00:00:00,Short Term,SHORT TERM,OD,Current Account with Overdraft,OD,OD,2023-05-24,50824109.68,0.0,0.0,824109.68,0.0,0,0,RG2,Buliding  and Construction,"Constr-roads,bridge,hospital,school",Individual,Monthly,Commercial Building;Dry Cargo;Escavator;Grinder;Others-Construction Machinery,171085528.23,2023,Standard,Developer
Developer,21,35547.71,5.0,Home Equity Loan,9.0,17,High_spent_Small_value_payments,482.6076383223166,1000008639098,150000000.0,2023-08-21,2024-08-18 00:00:00,Short Term,SHORT TERM,OD,Current Account with Overdraft,OD,OD,2023-05-24,122497479.08,0.0,0.0,27502520.92,0.0,0,0,RG1,Manufacturing,"Rubber, foam and plastic",Manufacturing,Monthly,Factory Building;Factory Machinery,123434272.2,2024,Standard,Developer
Developer,21,35547.71,5.0,Home Equity Loan,5.0,15,High_spent_Medium_value_payments,497.6872787770267,1000008639136,7000000.0,2022-06-01,2024-06-12 00:00:00,Short Term,SHORT TERM,OD,Current Account with Overdraft,OD,OD,2023-05-24,4539385.97,0.0,0.0,2460614.03,0.0,0,0,RG2,Manufacturing,Sawmill of wood & prodn straw arti,Manufacturing,Monthly,"Premises, Buildings & Houses",223989118.32,2024,Standard,Developer
Developer,21,35547.71,5.0,Home Equity Loan,10.0,15,Low_spent_Small_value_payments,394.31893393507744,1000008639217,40000000.0,2023-10-02,2024-04-18 00:00:00,Short Term,SHORT TERM,OD,Current Account with Overdraft,OD,OD,2023-05-24,8279643.3,0.0,0.0,31720356.7,0.0,0,0,RG1,Import,Other Trade & Service,Individual,Monthly,Commercial Building,208666336.5,2024,Standard,Developer
Developer,21,35547.71,5.0,Home Equity Loan,1.0,15,High_spent_Small_value_payments,364.00001570479753,1000008907475,370000000.0,2024-01-09,2024-10-15 00:00:00,Short Term,SHORT TERM,OD,Current Account with Overdraft,OD,OD,2023-05-24,262627660.07,0.0,0.0,107372339.93,0.0,0,0,RG3,other sector,Manufacture of soft drinks,Individual,Monthly,Factory Building;Motor vehicles,405226531.59,2024,Standard,Developer
Lawyer,31,73928.46,8.0,Home Equity Loan,12.0,10,High_spent_Large_value_payments,740.1960900583389,1000008922458,8000000.0,2023-09-11,2024-09-04 00:00:00,Short Term,SHORT TERM,OD,Current Account with Overdraft,OD,OD,2023-05-24,1895352.29,0.0,0.0,6104647.71,0.0,0,0,RG2,Manufacturing,Others,Individual,Monthly,Factory Building;Factory Machinery,34160501.15,2024,Good,Lawyer
Architect,31,73928.46,8.0,Home Equity Loan,8.0,7,Low_spent_Medium_value_payments,705.9312855,1000009223413,30000000.0,2024-01-09,2024-07-05 00:00:00,Short Term,SHORT TERM,OD,Current Account with Overdraft,OD,OD,2023-05-24,11535615.33,0.0,0.0,18464384.67,0.0,0,0,RG2,Import,Import - Food & other consumable,Import,Monthly,Business Mortgage;Commercial Building;Condominium;Dry Cargo;Factory Machinery;Whearhouse,200340484.87,2024,Good,_______
Lawyer,31,73928.46,8.0,Home Equity Loan,8.0,7,High_spent_Medium_value_payments,698.8107657019921,1000009435178,100000000.0,2008-11-29,2024-11-24 00:00:00,Long Term,LONG TERM,CB,Coupon Bond,COUPON.BOND,AA,2023-05-24,385.456,19650609.428,0.0,0.0,7142857.15,0,0,RG1,Consumer and staff loans,Electricity & Power,Electricity gas & water supply,Half Yearly,Written undertaking by Gov't Organ,75100000000.0,2024,Good,Lawyer
Lawyer,31,73928.46,8.0,Home Equity Loan,8.0,7,Low_spent_Small_value_payments,270.66810874941655,1000009435798,100000000.0,2008-12-25,2024-12-18 00:00:00,Long Term,LONG TERM,CB,Coupon Bond,COUPON.BOND,AA,2023-05-24,385.456,19650609.428,0.0,0.0,7142857.15,0,0,RG1,Consumer and staff loans,Electricity & Power,Electricity gas & water supply,Half Yearly,Written undertaking by Gov't Organ,75100000000.0,2024,Good,Lawyer
Lawyer,31,73928.46,5318.0,Home Equity Loan,11.0,7,Low_spent_Large_value_payments,690.9186643139128,1000009436255,100000000.0,2008-12-25,2024-12-18 00:00:00,Long Term,LONG TERM,CB,Coupon Bond,COUPON.BOND,AA,2023-05-24,385.456,19650609.428,0.0,0.0,7142857.15,0,0,RG1,Consumer and staff loans,Electricity & Power,Electricity gas & water supply,Half Yearly,Written undertaking by Gov't Organ,75100000000.0,2024,Good,Lawyer
Lawyer,31,73928.46,8.0,Home Equity Loan,7.0,7,Low_spent_Large_value_payments,633.0801749681799,1000009436417,100000000.0,2008-11-29,2024-11-24 00:00:00,Long Term,LONG TERM,CB,Coupon Bond,COUPON.BOND,AA,2023-05-24,385.456,19650609.428,0.0,0.0,7142857.15,0,0,RG1,Consumer and staff loans,Electricity & Power,Electricity gas & water supply,Half Yearly,Written undertaking by Gov't Organ,75100000000.0,2024,Good,Lawyer
Lawyer,31,73928.46,8.0,Home Equity Loan,8.0,4,High_spent_Small_value_payments,510.36110048740534,1000009436883,100000000.0,2008-12-25,2024-12-18 00:00:00,Long Term,LONG TERM,CB,Coupon Bond,COUPON.BOND,AA,2023-05-24,385.456,19650609.428,0.0,0.0,7142857.15,0,0,RG1,Consumer and staff loans,Electricity & Power,Electricity gas & water supply,Half Yearly,Written undertaking by Gov't Organ,75100000000.0,2024,Standard,Lawyer
Lawyer,31,73928.46,8.0,Home Equity Loan,8.0,7,!@9#%8,796.2349097481042,1000009437049,100000000.0,2008-12-25,2024-12-18 00:00:00,Long Term,LONG TERM,CB,Coupon Bond,COUPON.BOND,AA,2023-05-24,385.456,19650609.428,0.0,0.0,7142857.15,0,0,RG1,Consumer and staff loans,Electricity & Power,Electricity gas & water supply,Half Yearly,Written undertaking by Gov't Organ,75100000000.0,2024,Good,Lawyer
Lawyer,33,131313.4,8.0,"Credit-Builder Loan, and Mortgage Loan",0.0,3,High_spent_Medium_value_payments,858.4624744,1000009438312,100000000.0,2008-11-29,2024-11-24 00:00:00,Long Term,LONG TERM,CB,Coupon Bond,COUPON.BOND,AA,2023-05-24,385.456,19650609.428,0.0,0.0,7142857.15,0,0,RG1,Consumer and staff loans,Electricity & Power,Electricity gas & water supply,Half Yearly,Written undertaking by Gov't Organ,75100000000.0,2024,Good,Lawyer
Lawyer,34,131313.4,8.0,"Credit-Builder Loan, and Mortgage Loan",-1.0,2,High_spent_Small_value_payments,547.7604572149734,1000009438509,10000000.0,2010-04-06,2020-03-29 00:00:00,Long Term,LONG TERM,CB,Coupon Bond,COUPON.BOND,AA,2023-05-24,385.456,244996.426,0.0,0.0,317460.32,0,0,RG1,Consumer and staff loans,Amhara Region,GOVERNMENT SECTOR,Annually,Written undertaking by Gov't Organ,1764000000.0,2020,Good,Lawyer
Lawyer,34,131313.4,8.0,"Credit-Builder Loan, and Mortgage Loan",0.0,3,High_spent_Large_value_payments,1038.5694068321734,1000009438517,5000000.0,2010-11-11,2020-09-27 00:00:00,Long Term,LONG TERM,CB,Coupon Bond,COUPON.BOND,AA,2023-05-24,4124190.544,24844.632,0.0,0.0,555555.56,0,0,RG1,Consumer and staff loans,Amhara Region,GOVERNMENT SECTOR,Annually,Written undertaking by Gov't Organ,1764000000.0,2020,Good,Lawyer
Lawyer,34,131313.4,8.0,"Credit-Builder Loan, and Mortgage Loan",0.0,2,High_spent_Medium_value_payments,899.1987716145285,1000009438525,20000000.0,2010-12-06,2020-11-24 00:00:00,Long Term,LONG TERM,CB,Coupon Bond,COUPON.BOND,AA,2023-05-24,385.456,242886.85,0.0,0.0,555555.56,0,0,RG1,Consumer and staff loans,Amhara Region,GOVERNMENT SECTOR,Annually,Written undertaking by Gov't Organ,1764000000.0,2020,Good,Lawyer
Lawyer,34,131313.4,8.0,"Credit-Builder Loan, and Mortgage Loan",0.0,4,High_spent_Large_value_payments,963.2548189998564,1000009438649,5000000.0,2010-11-11,2020-09-27 00:00:00,Long Term,LONG TERM,CB,Coupon Bond,COUPON.BOND,AA,2023-05-24,4124190.544,24844.632,0.0,0.0,555555.56,0,0,RG1,Consumer and staff loans,Amhara Region,GOVERNMENT SECTOR,Annually,Written undertaking by Gov't Organ,1764000000.0,2020,Good,Lawyer
Lawyer,34,131313.4,8.0,"Credit-Builder Loan, and Mortgage Loan",0.0,3_,High_spent_Large_value_payments,1140.0673399198365,1000009438657,20000000.0,2010-12-06,2020-11-24 00:00:00,Long Term,LONG TERM,CB,Coupon Bond,COUPON.BOND,AA,2023-05-24,385.456,242886.85,0.0,0.0,555555.56,0,0,RG1,Consumer and staff loans,Amhara Region,GOVERNMENT SECTOR,Annually,Written undertaking by Gov't Organ,1764000000.0,2020,Standard,Lawyer
Lawyer,34_,10909427,8.0,"Credit-Builder Loan, and Mortgage Loan",0.0,2_,!@9#%8,326.24183015224526,1000009438665,20000000.0,2010-12-06,2020-11-24 00:00:00,Long Term,LONG TERM,CB,Coupon Bond,COUPON.BOND,AA,2023-05-24,385.456,242886.85,0.0,0.0,555555.56,0,0,RG1,Consumer and staff loans,Amhara Region,GOVERNMENT SECTOR,Annually,Written undertaking by Gov't Organ,1764000000.0,2020,Good,Lawyer
Lawyer,34,131313.4,8.0,"Credit-Builder Loan, and Mortgage Loan",0.0,2,Low_spent_Medium_value_payments,396.1113462137519,1000009438673,2000000.0,2011-06-24,2021-06-06 00:00:00,Long Term,LONG TERM,CB,Coupon Bond,COUPON.BOND,AA,2023-05-24,1065902.462,7180.411999999999,0.0,0.0,98765.43,0,0,RG1,Consumer and staff loans,Amhara Region,GOVERNMENT SECTOR,Annually,Written undertaking by Gov't Organ,1764000000.0,2021,Good,Lawyer
Media_Manager,7580,34081.38_,15.0,"Not Specified, Auto Loan, and Student Loan",30.0,11,Low_spent_Large_value_payments,298.19215813115227,1000009438681,1000000.0,2011-06-24,2021-06-06 00:00:00,Long Term,LONG TERM,CB,Coupon Bond,COUPON.BOND,AA,2023-05-24,726172.022,4255.236,0.0,0.0,49382.72,0,0,RG1,Consumer and staff loans,Amhara Region,GOVERNMENT SECTOR,Annually,Written undertaking by Gov't Organ,1764000000.0,2021,Poor,Media_Manager
